Item,Image,Cost,Role,Type,Tier,Physical Power,Magical Power,Physical Penetration,Magical Penetration,Critical Chance,Attack Speed,Lifesteal,Magical Lifesteal,Omnivamp,Physical Armor,Magical Armor,Tenacity,Max Health,Max Mana,Health Regeneration,Mana Regeneration,Heal & Shield Power,Ability Haste,Movement Speed,Gold Per Second,Ability 1,Ability 2,Ability 3,No Condition,Ability Hits on Heroes,After Level 6,After taking damage,Against Eroded Heroes,Against Heroes below 40% Health,Against Minions,Based on Critical Strike Chance,Based on Enemy Bonus Armor,Buff yourself and nearby Heroes to,Burn nearby Enemy Units,Damage Heroes from afar with Abilities,Damaging Abilities and Basic Attacks,Enhance your Ultimate Ability,Every 8s,For each Level,For every 10% Missing Health,"Gain Effects, based on your location",On Ability Cast,On Ability Hits to Heroes or Monsters and Killing Units,On Basic Attacking Heroes,On Basic Attacks,On Dashing or Leaping,"On Dashing, Leaping or exiting Camo",On Dealing Magical Damage,On Dealing Physical Damage,On Healing or Shielding Heroes,On Healing or Shielding an Ally,On Immobilizing Heroes,On Immobilizing an Enemy,On Killing Monsters,On Killing Units,On Killing an Enemy Unit,On Melee Heroes only,On Overhealing from Lifesteal,On Ranged Basic Attack,On Successful Basic Attacks,On Successful Basic Attacks to Heroes or Monsters and Killing Units,On Takedown,On any damage instance towards an Enemy,On being Immobilized,On being hit by a Basic Attack,On casting your Ultimate,On crossing a Fog Wall,On damaging Heroes or Monsters and Unit Kills,On damaging Monsters,On damaging a Hero,On damaging a Hero below 40% Health,On damaging a Shielded Target,On dealing Ability Damage,On dealing Ability Damage to Heroes or Monsters and Unit Kills,On dealing Ability Damage to a Blighted Target,On dealing Ability Damage to a Blighted Unit,On dealing Ability Damage to a Hero,On dealing Magical Damage to a Hero,On dealing Physical Damage,On dealing damage,On dealing damage to Heroes,On dealing damage to Heroes or Monsters,On dealing damage to a Marked Hero,On going below 40% Health,On standing still and unharmed for 2s,On taking Magical Damage,On taking Magical Damage from a Hero,On taking a Hero below 5% Health,On using Sacrificial Strike on a Hero,Once every second,Upon Critically Striking,Upon Executing 25 Minions,Upon damaging an Eroded Hero,Upon triggering Arcane Salvo,When Heatwave Damages a Target,When at 4 stacks of Cyclone,When dealing or receiving damage,When hit by Basic Attacks,While Camouflaged,While Veil is active,While Vital Shield is ready,While below 40% Health,While moving,While moving or casting Abilities,While moving or landing Basic Attacks,While near Enemy Heroes,While near an Ally Hero,While out of combat,While within 475u of an Enemy Unit
Judgement,/images/items/Judgement.webp,0,Fighter,Area Damage,Crest,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Thunder Cleaver - 24-10s CD:  Deal 70 (+40% Physical Power) Damage in an area around you. On Hero hit, Heal (+35% Physical Power) (+8% Max Health). Subsequent Hero hits Heal for 50% effectiveness.",0,0,"Thunder Cleaver - 24-10s CD:  Deal 70 (+40% Physical Power) Damage in an area around you. On Hero hit, Heal (+35% Physical Power) (+8% Max Health). Subsequent Hero hits Heal for 50% effectiveness.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonar Drone,/images/items/Sonar-Drone.webp,0,None,None,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sonar Drone - 90-37s CD: • Shoot a Camouflaged Sonar Drone.• Lasts for 30-47s.• Pulses revealling non Stealthed Units for 3s.• Max Charges: 2• Charges are restored upon entering base.,Stealth Detection - After Level 6: • The first 2 pulses reveal Stealthed Units.,0,Sonar Drone - 90-37s CD: • Shoot a Camouflaged Sonar Drone.• Lasts for 30-47s.• Pulses revealling non Stealthed Units for 3s.• Max Charges: 2• Charges are restored upon entering base.,0,Stealth Detection - After Level 6: • The first 2 pulses reveal Stealthed Units.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solstone Drone,/images/items/Solstone-Drone.webp,0,None,None,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Solstone Drone - 90-37s CD: • Shoot a Camouflaged Solstone Drone.• Lasts for 30-47s.• Pulses revealling non Stealthed Units for 3s.• Max Charges: 3,0,0,Solstone Drone - 90-37s CD: • Shoot a Camouflaged Solstone Drone.• Lasts for 30-47s.• Pulses revealling non Stealthed Units for 3s.• Max Charges: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solstone,/images/items/Solstone.webp,0,None,None,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oracle Ward - 120s CD: • Place an invisible Oracle Ward for 120s.• Reveals any nearby non Stealthed Units.• Max Charges: 3.• Charges are restored upon entering base.,0,0,Oracle Ward - 120s CD: • Place an invisible Oracle Ward for 120s.• Reveals any nearby non Stealthed Units.• Max Charges: 3.• Charges are restored upon entering base.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stealth Ward,/images/items/Stealth-Ward.webp,0,None,None,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stealth Ward - 171s CD: • Place an invisible Ward for 86s.• Reveals any nearby non Stealthed Units.• Max Charges: 2.,0,0,Stealth Ward - 171s CD: • Place an invisible Ward for 86s.• Reveals any nearby non Stealthed Units.• Max Charges: 2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentry,/images/items/Sentry.webp,0,None,None,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sentry - 94s CD: • Reveal nearby Wards in an area around you for 12s.• Max Charges: 2.• Cooldown is reduced by 3 per Level.,0,0,Sentry - 94s CD: • Reveal nearby Wards in an area around you for 12s.• Max Charges: 2.• Cooldown is reduced by 3 per Level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Hunt,/images/items/Wild-Hunt.webp,0,None,Tier 1,Tier 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Slay - 90s CD: • Deal 1000 Damage to an Enemy Minion or Monster.,Forest Dweller - On damaging Monsters: • Deal bonus Damage over 3s.• Restore Mana On-Hit and while in the Jungle.• Melee Heroes Heal for 7% of damage dealt.• Healing increases to 10% while below 40% Health.• Receive diminishing Gold from excessive Minion Kills.,0,Slay - 90s CD: • Deal 1000 Damage to an Enemy Minion or Monster.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forest Dweller - On damaging Monsters: • Deal bonus Damage over 3s.• Restore Mana On-Hit and while in the Jungle.• Melee Heroes Heal for 7% of damage dealt.• Healing increases to 10% while below 40% Health.• Receive diminishing Gold from excessive Minion Kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunt,/images/items/Hunt.webp,0,None,Tier 1,Tier 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Slay - 90s CD: • Deal 500 Damage to an Enemy Minion or Monster.,Forest Dweller - On damaging Monsters: • Deal bonus Damage over 3s.• Restore Mana On-Hit and while in the Jungle.• Melee Heroes Heal for 7% of damage dealt.• Healing increases to 10% while below 40% Health.• Receive diminishing Gold from excessive Minion Kills.,"Big Game Hunter - On Killing Monsters: • Grant a stack of Hunt.• At 40 stacks, this item evolves into Wild Hunt.",Slay - 90s CD: • Deal 500 Damage to an Enemy Minion or Monster.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Big Game Hunter - On Killing Monsters: • Grant a stack of Hunt.• At 40 stacks, this item evolves into Wild Hunt.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forest Dweller - On damaging Monsters: • Deal bonus Damage over 3s.• Restore Mana On-Hit and while in the Jungle.• Melee Heroes Heal for 7% of damage dealt.• Healing increases to 10% while below 40% Health.• Receive diminishing Gold from excessive Minion Kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Titan Crest,/images/items/Titan-Crest.webp,0,Tank,Tank,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Titan - After taking damage: • Heal (+1% Max Health) over 10s.• After restoring 280 Health:• Evolves into Goliath Crest.,0,0,0,0,0,Titan - After taking damage: • Heal (+1% Max Health) over 10s.• After restoring 280 Health:• Evolves into Goliath Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saphir's Mantle,/images/items/Saphirs-Mantle.webp,0,Tank,Sustained Durability,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Atlas - 75s CD: ‚ Increase your Size and Max Health by 12% for 6s.‚ Deal 55 (+1.25% Max Health) Damage to nearby Heroes.‚ After the duration, permanently increase your Max Health by 20% of the Damage dealt.",0,0,"Atlas - 75s CD: ‚ Increase your Size and Max Health by 12% for 6s.‚ Deal 55 (+1.25% Max Health) Damage to nearby Heroes.‚ After the duration, permanently increase your Max Health by 20% of the Damage dealt.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
